sen_measurement2,sen_measurement3,sen_measurement4,sen_measurement8,sen_measurement9,sen_measurement11,sen_measurement13,sen_measurement17,RUL
642.36,1583.23,1396.84,2387.96,9062.17,47.3,2388.01,391,258
642.5,1584.69,1396.89,2388.0,9061.78,47.23,2388.03,392,257
642.18,1582.35,1405.61,2388.03,9070.23,47.22,2388.0,391,256
642.92,1585.61,1392.27,2388.0,9064.57,47.24,2388.08,392,255
641.68,1588.63,1397.65,2388.04,9076.14,47.15,2388.03,392,254
642.24,1584.09,1400.01,2388.0,9074.98,47.07,2388.02,393,253
642.58,1585.61,1401.09,2388.04,9074.65,47.38,2388.02,391,252
642.32,1588.32,1397.08,2388.06,9063.54,47.31,2387.97,391,251
641.64,1587.81,1406.51,2388.04,9067.2,47.31,2388.01,392,250
642.42,1587.39,1402.25,2387.99,9070.04,47.35,2387.99,391,249
642.28,1582.38,1391.88,2388.01,9068.24,47.35,2388.03,392,248
641.88,1583.24,1397.74,2388.04,9075.26,47.26,2387.98,392,247
641.92,1589.68,1395.55,2387.98,9066.53,47.14,2388.02,391,246
642.66,1587.29,1400.9,2388.02,9067.34,47.28,2387.97,390,245
642.34,1580.8,1396.5,2387.95,9069.89,47.29,2388.0,390,244
641.68,1587.32,1395.49,2388.02,9071.14,47.14,2387.98,391,243
641.9,1591.12,1395.08,2388.0,9060.74,47.0,2387.93,393,242
642.39,1578.96,1402.24,2387.97,9075.87,47.2,2388.01,392,241
642.3,1584.04,1398.85,2387.98,9074.41,47.16,2387.98,391,240
642.26,1579.65,1395.59,2387.97,9071.28,47.16,2388.03,391,239
642.62,1590.18,1398.01,2387.99,9074.66,47.26,2388.01,391,238
642.13,1586.21,1397.07,2387.98,9075.72,47.32,2388.03,392,237
642.05,1586.03,1394.01,2387.99,9068.45,47.17,2388.03,391,236
642.02,1585.13,1394.81,2387.96,9072.51,47.41,2388.02,391,235
641.93,1586.82,1406.62,2387.99,9076.1,47.31,2388.04,391,234
642.37,1585.26,1398.77,2387.98,9065.37,47.28,2388.02,392,233
642.12,1582.77,1400.16,2387.98,9065.21,47.33,2388.03,390,232
643.01,1578.4,1400.24,2387.99,9055.81,47.17,2388.04,391,231
642.04,1587.5,1393.05,2387.97,9068.18,47.22,2388.01,393,230
642.53,1586.99,1396.67,2388.03,9068.92,47.34,2387.97,392,229
642.32,1586.13,1397.47,2387.95,9063.81,47.24,2388.01,390,228
642.11,1587.7,1392.44,2388.03,9066.15,47.17,2387.96,391,227
642.49,1579.54,1399.94,2388.0,9059.84,47.27,2388.0,392,226
642.21,1586.42,1403.41,2387.96,9068.03,47.47,2388.02,391,225
641.8,1590.74,1396.33,2388.03,9069.69,47.55,2388.02,392,224
642.45,1581.86,1395.89,2388.02,9067.31,47.32,2388.03,393,223
642.06,1588.99,1396.98,2387.95,9073.55,47.33,2388.02,393,222
642.49,1588.71,1401.57,2388.01,9071.77,47.3,2387.98,392,221
641.6,1578.79,1400.48,2388.02,9074.51,47.19,2387.99,392,220
642.22,1583.9,1395.26,2387.96,9069.77,47.24,2388.02,394,219
641.96,1582.54,1400.72,2387.97,9072.56,47.32,2387.97,392,218
642.06,1584.71,1403.21,2388.0,9071.68,47.26,2387.97,392,217
642.71,1581.49,1399.38,2387.96,9072.52,47.1,2387.98,392,216
642.69,1585.54,1407.66,2387.99,9068.1,47.26,2387.94,389,215
642.56,1584.23,1407.95,2387.96,9066.98,47.17,2387.98,391,214
642.02,1582.9,1400.5,2388.06,9071.26,47.21,2388.04,392,213
642.6,1592.1,1398.26,2388.01,9073.71,47.28,2387.97,392,212
642.44,1583.27,1399.17,2388.02,9066.97,47.27,2388.04,394,211
642.37,1586.75,1393.83,2388.04,9076.18,47.28,2388.01,390,210
642.41,1590.26,1398.51,2387.98,9068.53,47.08,2388.04,392,209
642.2,1587.71,1390.26,2387.99,9067.59,47.21,2387.98,391,208
642.61,1583.3,1403.78,2387.97,9063.21,47.24,2387.93,391,207
642.45,1583.03,1400.06,2388.03,9064.82,47.34,2388.04,391,206
642.48,1584.68,1406.3,2388.03,9068.35,47.22,2388.04,392,205
642.25,1587.23,1401.26,2388.01,9066.05,47.12,2388.02,391,204
642.79,1585.25,1396.05,2388.01,9067.08,47.07,2388.03,394,203
642.47,1586.13,1396.03,2387.97,9074.48,47.11,2387.99,391,202
641.98,1587.55,1402.61,2387.98,9068.44,47.17,2388.05,393,201
642.01,1589.14,1405.41,2387.96,9066.73,47.24,2388.01,393,200
642.52,1578.91,1406.32,2388.03,9069.03,47.31,2387.98,392,199
641.97,1584.13,1400.11,2388.01,9075.7,47.23,2387.98,391,198
642.47,1593.91,1397.99,2388.04,9067.62,47.25,2388.02,390,197
641.82,1583.91,1403.75,2388.01,9065.3,47.32,2388.04,391,196
642.49,1589.38,1399.53,2388.0,9072.87,47.34,2387.98,391,195
642.15,1589.05,1391.23,2387.96,9068.0,47.31,2387.97,391,194
642.16,1586.02,1397.9,2387.97,9072.46,47.36,2387.99,391,193
642.01,1585.57,1399.69,2388.03,9072.09,47.36,2388.03,391,192
642.07,1580.92,1401.99,2388.04,9072.69,47.35,2387.95,391,191
642.88,1589.68,1399.78,2388.05,9068.54,47.11,2388.05,392,190
642.34,1591.65,1401.42,2388.02,9071.32,47.26,2388.05,393,189
642.58,1583.72,1397.76,2388.03,9073.21,47.19,2387.98,391,188
641.91,1582.17,1402.51,2388.02,9076.78,47.26,2388.06,392,187
642.02,1586.87,1397.72,2388.04,9073.4,47.34,2388.03,393,186
